Dataset,Model,Accuracy,Precision,Recall,F1-score
ton-iot,NaiveBayes,0.5200900032144005,0.5156992476549729,0.5200900032144005,0.4375598687091192
ton-iot,LogisticRegression,0.514143362262938,0.4999405065091724,0.514143362262938,0.4182071289690995
ton-iot,KNN,0.7502410800385728,0.7523605829041434,0.7502410800385728,0.7502197641602953
ton-iot,SVM,0.5340726454516233,0.5350378354885525,0.5340726454516233,0.4940583630857487
ton-iot,RandomForest,0.98424943747991,0.9844282825094224,0.98424943747991,0.9842533101430982
ton-iot,XGBoost,0.7970106075216972,0.7975475603151784,0.7970106075216972,0.7966448328843077
ton-iot,MLP,0.5777884924461588,0.5770461317885371,0.5777884924461588,0.5760594022853696
unsw-nb15,NaiveBayes,0.7430160812320847,0.7594403097687363,0.7430160812320847,0.732806412149516
unsw-nb15,LogisticRegression,0.8038915609969393,0.8347806627547949,0.8038915609969393,0.7949462440889848
unsw-nb15,KNN,0.8434630520332314,0.859694284505297,0.8434630520332314,0.8393940054367331
unsw-nb15,SVM,0.8149929553515036,0.8574953628082415,0.8149929553515036,0.8049487496745128
unsw-nb15,RandomForest,0.8714108730505757,0.8890439599906322,0.8714108730505757,0.8681876600194615
unsw-nb15,XGBoost,0.8753825972890249,0.8918362416984437,0.8753825972890249,0.8724370697604622
unsw-nb15,MLP,0.8526818248068795,0.8679302128603035,0.8526818248068795,0.8491190803174405
